"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-06","0.00","96","78","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-07","0.00","95","77","81"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-08","0.00","95","73","80"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-09","0.00","95","73","81"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-10","0.00","96","73","80"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-11","0.00","97","75","77"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-12","0.00","97","75","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-13","0.00","93","74","78"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-14","0.03","95","74","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-15","0.00","95","74","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-16","0.02","99","70","77"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-17","0.00","95","74","81"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-18","0.00","94","77","80"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-19","0.00","96","75","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-20","0.00","98","77","80"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-21","0.00","99","76","81"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-22","0.00","99","76","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-23","0.00","99","76","78"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-24","0.00","99","76","78"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-25","0.00","100","78","80"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-26","0.00","99","78","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-27","0.00","98","76","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-28","0.00","100","73","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-29","0.00","100","75","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-30","0.00","103","74","82"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-07-31","0.00","103","80","82"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-01","0.00","96","72","80"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-02","0.00","96","73","80"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-03","0.12","96","74","81"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-04","0.13","95","74","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-05","0.03","97","78","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-06","0.00","97","78","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-07","2.33","97","70","71"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-08","1.46","85","71",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-09","0.00","91","73","77"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-10","0.00","94","75",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-11","0.00","94","74",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-12","0.00","95","78","80"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-13","0.00","97","75",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-14","0.00","97","76",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-15","0.00","97","77",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-16","0.00","96","78",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-17","0.00","97","80","81"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-18","0.00","97","79","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-19","0.00","97","78","80"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-20","0.00","96","78","78"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-21","0.00","96","75","80"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-22","0.00","93","74","78"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-23","0.00","95","71","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-24","0.00","96","75","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-25","0.00","90","-99","77"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-26","0.34","86","73","73"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-27","1.77","75","72","72"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-28","0.26","75","72","74"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-29","0.00","85","71","74"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-30","0.00","85","71","72"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-08-31","0.00","90","61","67"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-01","0.00","90","61","70"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-02","0.00","92","64","71"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-03","0.00","91","65","71"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-04","0.00","90","66","72"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-05","0.00","90","71","76"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-06","0.00","90","71","72"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-07","0.00","83","56","66"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-08","0.00","82","54","61"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-09","0.00","84","57","63"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-10","0.00","85","58","65"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-11","0.00","84","56","63"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-12","0.00","85","57","63"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-13","0.00","85","54","63"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-14","0.00","95","63","75"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-15","0.00","95","73","74"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-16","0.00","95","73","80"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-17","0.00","97","74","77"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-18","0.00","92","76","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-19","0.00","94","78","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-20","0.00","94","78","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-21","0.00","96","79","79"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-22","0.00","93","74","78"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-23","0.00","92","73","73"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-24","0.00","91","73","76"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-25","0.17","91","73","75"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-26","0.67","86","73","74"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-27","1.34","77","70","71"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-28","0.60","80","71","72"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-29","0.20","77","71","72"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-09-30","0.05","76","66","68"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-01","0.00","76","67","68"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-02","0.00","86","61","70"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-03","0.00","86","70","75"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-04","0.23","85","75","76"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-05","0.11","86","68","74"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-06","0.00","86","67","70"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-07","0.01","86","64","70"
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-08","0.00","86","68",
"USC00417947","SAN ANTONIO INCARNATE WORD, TX US","2017-10-09","0.00","90","70",
